agent_code,agent_dob,agent_doj,agent_status,agent_education,agent_age,agent_tenure_days,agent_persistency,last_6_month_submissions,average_premium,is_reinstated,prev_persistency,num_complaints,target_completion_perc,has_contacted_in_last_6_months
60503862,03-07-1997,31-08-2020,Active,Graduate,23,8,0.76,35,377,1,0.67,1,0.98,1
60422713,28-03-1980,17-05-2018,Active,High School,40,830,0.87,54,671,0,0,4,0.9,1
60450939,25-06-1978,25-02-2019,Inactive,Some College,42,546,0.93,0,579,0,0,8,0.93,1
60394377,05-05-1993,10-07-2017,Active,Graduate,27,1141,0.78,29,1333,1,0.72,8,0.95,1
60491531,05-12-1967,20-03-2020,Active,Graduate,53,157,0.89,44,652,0,0,8,0.89,0
60408239,05-06-1986,30-11-2017,Active,Graduate,34,998,0.75,26,1890,0,0,8,0.83,0
60476244,03-11-1984,22-10-2019,Active,Lt High School,36,307,0.81,45,926,0,0,13,0.92,0
60237645,,23-08-2012,Active,High School,36,2923,0.98,60,1119,0,0,8,0.95,0
60221480,26-10-1964,13-10-2011,Active,Lt High School,56,3238,0.7,40,842,0,0,27,0.88,1
60410983,01-03-1983,27-12-2017,Active,High School,38,1007,0.72,43,637,0,0,7,0.97,1
60465109,03-11-1991,19-07-2019,Active,Lt High School,29,438,0.86,26,1277,0,0,13,0.97,1
60458174,05-07-1992,21-05-2019,Active,High School,28,497,0.76,21,1070,1,0.75,8,0.87,1
60187292,23-07-1975,27-09-2010,Active,High School,45,3655,0.87,54,665,1,0.84,4,0.96,1
60506834,19-01-1993,25-09-2020,Active,Graduate,28,4,0.76,19,239,0,0,1,0.87,1
60485549,16-11-1983,21-01-2020,Active,Lt High School,37,252,0.75,49,4277,0,0,13,0.97,1
60413353,15-10-1988,23-01-2018,Active,Graduate,32,980,0.56,22,880,0,0,8,0.96,1
60375566,01-01-1983,21-12-2016,Active,High School,38,1378,0.77,48,907,0,0,8,0.82,1
