zipcode,county,state,negative_zipcode
601,Adjuntas Municipio,PR,1
602,Aguada Municipio,PR,0
603,Aguadilla Municipio,PR,0
606,Maricao Municipio,PR,0
610,Anasco Municipio,PR,0
611,Utuado Municipio,PR,0
612,Arecibo Municipio,PR,0
616,Arecibo Municipio,PR,0
617,Barceloneta Municipio,PR,0
622,Cabo Rojo Municipio,PR,0
623,Cabo Rojo Municipio,PR,0
624,Guayanilla Municipio,PR,0
627,Camuy Municipio,PR,0
631,Lares Municipio,PR,1
637,Sabana Grande Municipio,PR,0
638,Ciales Municipio,PR,0
641,Ponce Municipio,PR,0
646,Dorado Municipio,PR,0
647,Guanica Municipio,PR,0
650,Arecibo Municipio,PR,0
652,Arecibo Municipio,PR,0
653,Guanica Municipio,PR,1
656,Guayanilla Municipio,PR,0
659,Hatillo Municipio,PR,0
660,Hormigueros Municipio,PR,0
662,Isabela Municipio,PR,0
664,Jayuya Municipio,PR,0
667,Cabo Rojo Municipio,PR,1
669,Lares Municipio,PR,0
670,Las Marias Municipio,PR,0
674,Manati Municipio,PR,0
676,Moca Municipio,PR,0
677,Anasco Municipio,PR,0
678,Quebradillas Municipio,PR,0
680,Cabo Rojo Municipio,PR,0
682,Mayaguez Municipio,PR,0
683,Mayaguez Municipio,PR,0
685,Moca Municipio,PR,0
687,Manati Municipio,PR,0
688,Arecibo Municipio,PR,0
690,Aguadilla Municipio,PR,0
692,Morovis Municipio,PR,0
693,Manati Municipio,PR,0
694,Vega Baja Municipio,PR,0
698,Yauco Municipio,PR,0
703,Aguas Buenas Municipio,PR,0
704,Salinas Municipio,PR,0
705,Aibonito Municipio,PR,0
707,Maunabo Municipio,PR,0
714,Arroyo Municipio,PR,0
715,Ponce Municipio,PR,1
716,Ponce Municipio,PR,0
717,Ponce Municipio,PR,0
718,Naguabo Municipio,PR,0
719,Naranjito Municipio,PR,0
720,Juana Diaz Municipio,PR,0
723,Caguas Municipio,PR,0
725,Caguas Municipio,PR,0
727,Caguas Municipio,PR,0
728,Ponce Municipio,PR,0
729,Canovanas Municipio,PR,0
730,Ponce Municipio,PR,0
731,Ponce Municipio,PR,0
735,Ceiba Municipio,PR,0
736,Caguas Municipio,PR,0
738,Fajardo Municipio,PR,0
739,Caguas Municipio,PR,0
740,Fajardo Municipio,PR,0
741,Humacao Municipio,PR,0
745,Canovanas Municipio,PR,0
751,Salinas Municipio,PR,0
754,Caguas Municipio,PR,0
757,Salinas Municipio,PR,0
765,Vieques Municipio,PR,1
766,Juana Diaz Municipio,PR,0
767,Yabucoa Municipio,PR,0
769,Coamo Municipio,PR,0
771,Las Piedras Municipio,PR,0
772,Loiza Municipio,PR,0
773,Luquillo Municipio,PR,0
775,Culebra Municipio,PR,0
777,Gurabo Municipio,PR,0
778,Bayamon Municipio,PR,0
780,Ponce Municipio,PR,0
782,Bayamon Municipio,PR,0
783,Corozal Municipio,PR,0
784,Guayama Municipio,PR,0
786,Aibonito Municipio,PR,0
791,Humacao Municipio,PR,0
794,Barranquitas Municipio,PR,0
795,Juana Diaz Municipio,PR,0
901,Bayamon Municipio,PR,0
907,San Juan Municipio,PR,0
909,Catano Municipio,PR,0
911,San Juan Municipio,PR,0
912,San Juan Municipio,PR,0
913,San Juan Municipio,PR,1
915,San Juan Municipio,PR,1
917,Bayamon Municipio,PR,0
918,San Juan Municipio,PR,0
920,Bayamon Municipio,PR,0
921,Bayamon Municipio,PR,0
923,San Juan Municipio,PR,0
924,Bayamon Municipio,PR,0
925,Bayamon Municipio,PR,0
926,Bayamon Municipio,PR,0
927,San Juan Municipio,PR,0
934,Bayamon Municipio,PR,0
949,Toa Alta Municipio,PR,0
950,Toa Baja Municipio,PR,0
951,Toa Baja Municipio,PR,0
952,Toa Baja Municipio,PR,0
953,Bayamon Municipio,PR,0
956,Bayamon Municipio,PR,0
957,Bayamon Municipio,PR,0
959,Bayamon Municipio,PR,0
960,Bayamon Municipio,PR,0
961,Bayamon Municipio,PR,0
962,Bayamon Municipio,PR,0
965,Guaynabo Municipio,PR,1
966,Guaynabo Municipio,PR,0
968,Guaynabo Municipio,PR,0
969,Bayamon Municipio,PR,0
971,Guaynabo Municipio,PR,0
976,Bayamon Municipio,PR,0
979,Canovanas Municipio,PR,0
982,Carolina Municipio,PR,0
983,Carolina Municipio,PR,0
985,Carolina Municipio,PR,0
987,Carolina Municipio,PR,0
1001,Hampden County,MA,0
1002,Franklin County,MA,0
1003,Hampshire County,MA,0
1005,Worcester County,MA,0
1007,Hampshire County,MA,0
1008,Berkshire County,MA,0
1009,Hampden County,MA,0
1010,Hampden County,MA,0
1011,Berkshire County,MA,0
1012,Hampshire County,MA,0
1013,Hampden County,MA,0
1020,Hampden County,MA,0
1022,Hampden County,MA,0
1026,Berkshire County,MA,0
1027,Hampshire County,MA,0
1028,Hampden County,MA,0
1029,Berkshire County,MA,0
1030,Hampden County,MA,0
1031,Worcester County,MA,0
1032,Hampshire County,MA,0
1033,Hampden County,MA,0
1034,Hampden County,MA,0
1035,Hampshire County,MA,0
1036,Hampden County,MA,0
1037,Worcester County,MA,0
1038,Hampshire County,MA,0
1039,Franklin County,MA,0
1040,Hampden County,MA,0
1050,Hampden County,MA,0
1053,Hampshire County,MA,0
1054,Franklin County,MA,0
1056,Hampden County,MA,0
1057,Hampden County,MA,0
1060,Hampshire County,MA,0
